,precision,recall,f1-score,support
0,0.8861940298507462,0.9875259875259875,0.9341199606686332,481.0
1,0.6875,0.7129629629629629,0.7,216.0
2,0.0,0.0,0.0,47.0
3,0.2,0.045454545454545456,0.07407407407407407,22.0
accuracy,0.8224543080939948,0.8224543080939948,0.8224543080939948,0.8224543080939948
macro avg,0.44342350746268655,0.43648587398587396,0.4270485086856768,766.0
weighted avg,0.7560826740968785,0.8224543080939948,0.786085288134781,766.0
