model,family,mae,rmse,r2,accuracy,balanced_accuracy,macro_f1,weighted_f1,event_precision,event_recall,event_f1,best_val_loss
tft,deep,0.43631931789968326,0.8050673928170723,0.7991573544995036,0.8185378590078329,0.4234450796950797,0.40553519061583576,0.7780081621402264,0.0,0.0,0.0,0.651682987278455
cnn_lstm,deep,0.48709566464195364,0.9052647541503528,0.7460532361935022,0.8224543080939948,0.43648587398587396,0.4270485086856768,0.786085288134781,0.2,0.045454545454545456,0.07407407407407407,0.7078107536655582
xgboost,tabular,0.44936230845480113,0.9445934271512996,0.7243912164221453,0.8080939947780679,0.4154995468956271,0.32292345323234617,0.7728716978995185,0.04395604395604396,0.02877697841726619,0.03478260869565218,
lstm,deep,0.5627943886293211,0.9939035965389634,0.693888261737324,0.825065274151436,0.4381630319130319,0.42528922071290826,0.7966097623861458,0.047619047619047616,0.045454545454545456,0.046511627906976744,0.47937641311181733
random_forest,tabular,0.42355854556210276,0.9990787166680466,0.6916793375632266,0.7856832027850305,0.3961499950629559,0.3093791227352046,0.7478898616829707,0.09782608695652174,0.06474820143884892,0.07792207792207792,
lightgbm,tabular,0.5114567846033619,1.004605914672196,0.6882584594084713,0.8054830287206266,0.4137015168864462,0.3207327043703378,0.7744476098596647,0.10126582278481013,0.05755395683453238,0.07339449541284403,
st_gnn,deep,0.6073559942947874,1.0758133281962485,0.6424991681752388,0.7565274151436031,0.36711444384342745,0.35533583395896673,0.7041166392324162,0.0,0.0,0.0,0.5469254389201125
gru,deep,0.6882750767601687,1.1167280936757176,0.6135562008856952,0.804177545691906,0.4088006275506275,0.3936295235497363,0.7613347869562801,0.0,0.0,0.0,0.49043622661943304
