epoch,train_loss,train_reg_loss,train_cls_loss,val_loss,val_reg_loss,val_cls_loss
1,0.5716657623572228,0.31065365300728726,0.745748909222774,0.634290346217482,0.4315303490994728,0.5793142671454443
2,0.24944640723558573,0.1320098465986741,0.33553303926418987,0.6201995681001715,0.42377922126691636,0.561200943385085
3,0.22809786341129204,0.11794901017959301,0.31471101494935844,0.6407020058125665,0.4585388182266934,0.5204662747579079
4,0.19702706281955426,0.08992382010588279,0.30600926717122395,0.6848600363894685,0.47900985187455397,0.588143378087919
5,0.18656435477427946,0.08089994513071501,0.301898316572874,0.608592113076824,0.3829703733120879,0.6446335305906322
6,0.1782856286641879,0.07550817570625207,0.29364987306105783,0.5185783132298352,0.3154984514394852,0.58022817063005
7,0.1712788400436059,0.06886334621753448,0.29261569649745256,0.5337522271561296,0.3123916621179613,0.6324587495359656
8,0.16601216319279793,0.0659082479774952,0.2860111908423595,0.48973542856027,0.2731689052222526,0.6187615299878055
9,0.16121551201893733,0.06183140177757312,0.28395460865436456,0.5310973816130259,0.30451976416045673,0.6473646150876398
10,0.1530493606435947,0.05548538450056162,0.27875422364626173,0.47937641311181733,0.256722241864629,0.6361547667686254
11,0.14192507539040003,0.04594179890858821,0.274237938049512,0.48738482333209415,0.2522643635330135,0.6717727311669963
12,0.13858950679118817,0.042660344991928494,0.27408332396776247,0.5547865905990339,0.31154055573964773,0.6949887022580186
13,0.13890563130378722,0.04529630684317686,0.2674552187858484,0.727857622381759,0.49341145655880236,0.6698462236417483
14,0.135892887650392,0.04394676146216882,0.2627032221739109,0.5352244673526451,0.2711359435973102,0.7545386236007899
15,0.12938639633166485,0.03905449772301393,0.25809114165795155,0.5530135388243689,0.30353660497763385,0.7127912825101043
16,0.131628177349384,0.03876683922914358,0.26531811411564166,0.6193616839304362,0.33853992246193426,0.8023479043620907
17,0.11864184802159285,0.030331764115163914,0.25231452949536154,0.719295981199774,0.44935524504478663,0.771259247276881
18,0.11542895456155142,0.02803834326374225,0.24968746229624136,0.6004267541513051,0.32602506914775664,0.7840048460111226
19,0.10803392974994122,0.022724012037118275,0.24374262482692033,0.7979752209905075,0.5141459386234414,0.8109408574561551
20,0.10421257849687185,0.019709523390883055,0.24143730490635604,0.7741051304217887,0.4327287340409135,0.9753611456857969
21,0.09750686874756447,0.01636009092705372,0.23184793988863628,0.8192718692838329,0.4244466104736067,1.1280721417845112
22,0.09182035700632976,0.013562578405134189,0.22359365704732065,0.8234132808773484,0.5056909557074717,0.9077780088333235
