epoch,train_loss,train_reg_loss,train_cls_loss,val_loss,val_reg_loss,val_cls_loss
1,0.6180230794197473,0.35758665731320016,0.7441040820036179,0.49043622661943304,0.2945201375508962,0.5597602311878989
2,0.2806310230646378,0.15994312268037061,0.34482258799748544,0.7271976228446176,0.47976681385954767,0.7069452027751975
3,0.23041656724917584,0.11644826892094734,0.32562371153097885,0.5826928849906138,0.3827882421343294,0.5711561340175263
4,0.21656140951009897,0.104812902594224,0.3192814519466498,0.6247525088591118,0.4253330295828924,0.5697699432503687
5,0.19893784712522458,0.08890796070679641,0.3143711074346151,0.5781696971965162,0.38135803878715596,0.5623190732851421
6,0.19034756356324906,0.08294139168201349,0.30687478196926604,0.5520948928512939,0.33950060979552465,0.6074122935125272
7,0.18112037357611535,0.07626813506086667,0.2995778270256825,0.5838848834168421,0.3672072625119392,0.6190789470933888
8,0.18682707173702046,0.08377688594353505,0.2944290997431828,0.6058339117732766,0.40835115342107536,0.5642364552576248
9,0.16727677537844732,0.06640481449090517,0.2882056016799731,0.5017698860331757,0.3107493108061895,0.5457730784808119
10,0.17168447838379786,0.07061542119353245,0.28876873809557696,0.5533865534687695,0.34840643352841677,0.5856575320844781
11,0.15591171384621888,0.05828068636930906,0.2789457948085589,0.5210238724946976,0.3247563263324842,0.5607644180728965
12,0.1474224538069505,0.05182573921405352,0.27313347211250893,0.5638074540928618,0.3532296499569122,0.6016509101815419
13,0.14835917524802378,0.05156973027265989,0.2765412750610938,0.5059671868200172,0.3135016709157865,0.549901497690645
