,precision,recall,f1-score,support
0,0.8931825322023248,0.9847592656737097,0.9367380560131796,2887.0
1,0.6638330757341576,0.6700468018720749,0.6669254658385093,1282.0
2,0.0,0.0,0.0,288.0
3,0.0,0.0,0.0,139.0
4,0.0,0.0,0.0,0.0
accuracy,0.8054830287206266,0.8054830287206266,0.8054830287206266,0.8054830287206266
macro avg,0.31140312158729644,0.33096121350915697,0.3207327043703378,4596.0
weighted avg,0.7462254076499787,0.8054830287206266,0.7744476098596647,4596.0
