epoch,train_loss,train_reg_loss,train_cls_loss,val_loss,val_reg_loss,val_cls_loss
1,0.44510152963491584,0.2500940274886596,0.5571643046538035,0.7078107536655582,0.49512180063414246,0.6076827401984228
2,0.2732771084705989,0.152179652429544,0.34599273684697274,0.7533609952012154,0.5268748779002934,0.6471032351663668
3,0.258345560721862,0.14531773823958177,0.32293663883820556,0.7423260015984104,0.49902820705550993,0.69513664049645
4,0.24221991601662757,0.12920446841380534,0.322901280048566,0.8581529102913321,0.5947056323085745,0.7527064891710673
5,0.240614253786894,0.12783994783193636,0.32221231445288046,0.8956207830611974,0.6221974765601224,0.7812094773331734
6,0.21699647313509232,0.10801116798932736,0.31138659356496273,0.7355554601917528,0.5001691788843233,0.6725322194295387
7,0.22328449203417852,0.1154313559906605,0.3081518273781507,0.7630544855170054,0.5176988534731408,0.7010161145092689
8,0.21613931631430602,0.10754382533140672,0.3102728358598856,0.7763308092339398,0.49414731939769774,0.8062385350057524
9,0.19181128229850378,0.08821954206778453,0.29597640881171594,0.7745157135676031,0.5026312088313168,0.7768128734745391
10,0.1857997075563822,0.08579563204294596,0.28572593526962475,0.8824927981585673,0.5593558543348965,0.9232483733190249
11,0.17254110678648338,0.07259010939261852,0.2855742817047315,0.9704200885067248,0.6278094454579157,0.9788876108927269
12,0.18346037128032783,0.0823400917267188,0.28891508712218356,0.9257085336397772,0.5579828873684961,1.0506446746930684
13,0.16532494245431362,0.06649617502322563,0.282367911583338,0.8886738785325664,0.590370328561084,0.8522958814281307
