,precision,recall,f1-score,support
0,0.853309481216458,0.9916839916839917,0.9173076923076923,481.0
1,0.6714975845410628,0.6435185185185185,0.6572104018912529,216.0
2,0.0,0.0,0.0,47.0
3,0.0,0.0,0.0,22.0
accuracy,0.804177545691906,0.804177545691906,0.804177545691906,0.804177545691906
macro avg,0.3812017664393802,0.4088006275506275,0.3936295235497363,766.0
weighted avg,0.7251766824099033,0.804177545691906,0.7613347869562801,766.0
