,precision,recall,f1-score,support
0,0.8479809976247031,0.9892622099064773,0.913189448441247,2887.0
1,0.6637323943661971,0.5881435257410297,0.6236559139784946,1282.0
2,0.0,0.0,0.0,288.0
3,0.016666666666666666,0.007194244604316547,0.010050251256281407,139.0
4,0.0,0.0,0.0,0.0
accuracy,0.7856832027850305,0.7856832027850305,0.7856832027850305,0.7856832027850305
macro avg,0.3056760117315134,0.3169199960503647,0.3093791227352046,4596.0
weighted avg,0.7183078190571474,0.7856832027850305,0.7478898616829707,4596.0
