,precision,recall,f1-score,support
0,0.8680280402316367,0.9864911673016973,0.9234760051880675,2887.0
1,0.7075163398692811,0.6755070202808112,0.6911412609736632,1282.0
2,0.0,0.0,0.0,288.0
3,0.0,0.0,0.0,139.0
4,0.0,0.0,0.0,0.0
accuracy,0.8080939947780679,0.8080939947780679,0.8080939947780679,0.8080939947780679
macro avg,0.31510887602018356,0.3323996375165017,0.32292345323234617,4596.0
weighted avg,0.742609421205647,0.8080939947780679,0.7728716978995185,4596.0
