epoch,train_loss,train_reg_loss,train_cls_loss,val_loss,val_reg_loss,val_cls_loss
1,0.6060966749374683,0.37207086566167,0.6686451872189839,0.5469254389201125,0.3007673378472459,0.7033088556707722
2,0.3472503880965404,0.2166455364227295,0.37315672440406605,0.6749905969998607,0.4263878218319318,0.7102936123331932
3,0.28103067508110635,0.15905123771765292,0.3485126766180381,0.7702304709447574,0.5385389540293445,0.6619757337112949
4,0.2456376460576669,0.12840906695677684,0.3349388117973621,0.7149146133906221,0.4828097104413869,0.663156869231838
5,0.2297109108704787,0.11529201962244816,0.32691112224872293,0.8333238898891292,0.5710070053192035,0.7494768558299705
6,0.21353839736718397,0.10253959632836855,0.3171394373209048,0.6839138816480768,0.4472435999406527,0.6762007872127507
7,0.19989768294187693,0.09213611081624642,0.30789021158829716,0.882352537406634,0.5962182752481878,0.8175265105211571
8,0.19511537859073053,0.08885595926107505,0.3035983443565858,0.7151596660483374,0.43193712387591193,0.8092073244591281
9,0.19073213124886537,0.0862495027979215,0.2985217956090585,0.7515422839007966,0.4796322377985471,0.7768858258446601
10,0.1865100354109055,0.0838924690316885,0.2931930502867087,0.7036507519957137,0.43934169548423324,0.7551687425538285
11,0.17859411627818378,0.07537812418662584,0.2949028395995116,0.7556667831662583,0.46048768636298504,0.843368873000145
12,0.17865680116873522,0.07697953444260817,0.2905064809933687,0.7916535415061533,0.5085342206367075,0.8089123758551192
13,0.16663707591020144,0.06634129246075948,0.286559383105009,0.7721643606277361,0.4642859599361681,0.8796525173603672
