,precision,recall,f1-score,support
0,0.9136276391554703,0.9896049896049897,0.9500998003992016,481.0
1,0.6919642857142857,0.7175925925925926,0.7045454545454546,216.0
2,0.0,0.0,0.0,47.0
3,0.047619047619047616,0.045454545454545456,0.046511627906976744,22.0
accuracy,0.825065274151436,0.825065274151436,0.825065274151436,0.825065274151436
macro avg,0.4133027431222009,0.4381630319130319,0.42528922071290826,766.0
weighted avg,0.770191643858598,0.825065274151436,0.7966097623861458,766.0
