,precision,recall,f1-score,support
0,0.8745387453874539,0.9854469854469855,0.9266862170087976,481.0
1,0.6830357142857143,0.7083333333333334,0.6954545454545454,216.0
2,0.0,0.0,0.0,47.0
3,0.0,0.0,0.0,22.0
accuracy,0.8185378590078329,0.8185378590078329,0.8185378590078329,0.8185378590078329
macro avg,0.38939361491829205,0.4234450796950797,0.40553519061583576,766.0
weighted avg,0.7417609018499733,0.8185378590078329,0.7780081621402264,766.0
