epoch,train_loss,train_reg_loss,train_cls_loss,val_loss,val_reg_loss,val_cls_loss
1,0.4868994953387823,0.2879899195715403,0.5683130745093028,0.651682987278455,0.39446161103575195,0.7349182481635107
2,0.24719462804305248,0.13026336876245645,0.33408932325167534,0.6745326756614528,0.4438530946022844,0.6590845330120766
3,0.20068578124046327,0.09185034808440086,0.3109583848561996,0.8588969368946879,0.5356540394462135,0.9235511453184363
4,0.2041386723671204,0.0983130587102511,0.30235889829122103,0.7751778532380927,0.4655328971065887,0.884699905081971
5,0.18676169083668637,0.07921823484011185,0.30726702684011215,0.7759927686354885,0.5206677305371794,0.7295000985877155
6,0.1702183109521866,0.0690161709411022,0.289148971698223,0.7790535597360297,0.4554479507908021,0.9245874045646354
7,0.1526132102501698,0.055445924386000024,0.27762081800363003,0.7979306291227471,0.45654721977571916,0.9753811426358681
8,0.15331385580392984,0.059988064922583406,0.2666451187317188,0.8997999344378301,0.4955877871137776,1.1548918511769544
9,0.14349645940157083,0.05235062436033518,0.26041667580604555,0.8572124823723754,0.48682182295477555,1.058259029094487
10,0.13724196458474183,0.048525864138053015,0.2534745766260685,0.7588611796804486,0.42500093487435825,0.9538863835269458
11,0.1346694951485365,0.046633707055678736,0.25153082670309607,0.7563610257963612,0.3872288142777469,1.0546634909224837
12,0.128993461002142,0.04294480855648334,0.24585329017578028,0.8141055666420558,0.4293779890320889,1.0992216461325346
13,0.12396718644178831,0.042195461984628285,0.23363350003193586,0.8598873824901777,0.44473419857964125,1.1861520223421593
